순위,호선,역번호,역명,일평균환승유입인원
1,2,239,홍대입구,40253 
2,1,150,서울역(1),33780 
3,1,152,종각,29545 
4,2,216,잠실(2),27752 
5,2,222,강남,27088 
6,7,2748,가산디지털단지(7),25686 
7,2,232,구로디지털단지,25113 
8,2,221,역삼,25086 
9,2,234,신도림,24831 
10,3,329,고속터미널(3),24666 
11,3,332,양재,23779 
12,4,420,혜화,23426 
13,2,219,삼성,23002 
14,2,211,성수,22854 
15,2,202,을지로입구,22535 
16,3,326,압구정,21483 
17,2,230,신림,21374 
18,4,424,명동,21241 
19,3,331,남부터미널,20042 
20,3,327,신사,19193 
21,2,220,선릉,19062 
22,2,240,신촌,18811 
23,1,151,시청(1),18766 
24,1,154,종로5가,18746 
25,2,228,서울대입구,17818 
26,4,414,수유,17509 
27,9,4129,봉은사,17239 
28,4,425,회현,17055 
29,2,238,합정(2),16616 
30,3,318,안국,16181 
31,3,311,연신내(3),15313 
32,5,2534,광화문,15199 
33,2,226,사당(2),14699 
34,4,412,창동,14692 
35,3,317,경복궁,14691 
36,4,432,이수(총신대입구),14458 
37,4,423,충무로(4),14392 
38,1,158,청량리,14364 
39,5,2519,까치산(5),14263 
40,1,153,종로3가(1),14020 
41,8,2819,문정,13869 
42,5,2527,여의도(5),13679 
43,4,413,쌍문,13550 
44,7,2749,철산,13087 
45,2,210,뚝섬,12894 
46,4,416,미아사거리,12872 
47,2,212,건대입구(2),12850 
48,2,223,교대(2),12831 
49,1,157,제기동,12510 
50,4,433,사당(4),12198 
51,3,310,구파발,11712 
52,4,426,서울역(4),11629 
53,5,2518,화곡,11627 
54,7,2733,학동,11522 
55,7,2750,광명사거리,11466 
56,2,201,시청(2),11431 
57,4,429,신용산,11294 
58,2,235,문래,11249 
59,5,2544,장한평,11209 
60,5,2522,오목교,11124 
61,4,417,길음,11049 
62,2,227,낙성대,11015 
63,2,203,을지로3가(2),10929 
64,4,421,동대문(4),10810 
65,2,214,강변,10769 
66,8,2811,암사,10510 
67,2,231,신대방,10471 
68,4,418,성신여대입구,10203 
69,8,2820,장지,9961 
70,6,2611,응암,9944 
71,5,2533,서대문,9748 
72,5,2528,여의나루,9737 
73,5,2549,강동,9733 
74,2,233,대림(2),9643 
75,3,339,수서,9587 
76,5,2516,발산,9228 
77,2,236,영등포구청(2),9099 
78,6,2622,망원,8927 
79,3,314,홍제,8926 
80,2,213,구의,8914 
81,7,2728,어린이대공원,8826 
82,7,2717,하계,8725 
83,2,229,봉천,8719 
84,4,410,상계,8684 
85,2,217,잠실새내,8650 
86,7,2731,청담,8649 
87,2,241,이대,8585 
88,2,224,서초,8527 
89,6,2640,안암,8502 
90,6,2631,이태원,8460 
91,9,4126,언주,8460 
92,7,2747,남구로,8433 
93,5,2521,목동,8332 
94,6,2619,디지털미디어시티(6),8267 
95,7,2724,사가정,8250 
96,5,2529,마포,8233 
97,8,2815,잠실(8),8222 
98,6,2645,석계(6),8208 
99,6,2627,공덕(6),8196 
100,9,4127,선정릉,8098 
101,2,237,당산,8048 
102,4,411,노원(4),8033 
103,1,156,신설동(1),8017 
104,3,312,불광(3),8011 
105,5,2543,답십리,7955 
106,7,2715,노원(7),7947 
107,4,419,한성대입구,7864 
108,7,2723,면목,7853 
109,8,2812,천호(8),7839 
110,7,2722,상봉(7),7831 
111,4,427,숙대입구,7815 
112,3,322,동대입구,7594 
113,5,2546,아차산,7532 
114,7,2738,이수(7),7503 
115,6,2642,월곡,7498 
116,3,333,매봉,7409 
117,5,2548,천호(5),7354 
118,8,2823,남한산성입구,7352 
119,9,4138,중앙보훈병원,7291 
120,9,4136,올림픽공원(9),7257 
121,5,2563,미사,7234 
122,7,2732,강남구청,7209 
123,4,415,미아,7155 
124,7,2716,중계,7087 
125,1,155,동대문(1),6909 
126,7,2734,논현,6907 
127,7,2740,숭실대입구,6895 
128,6,2632,한강진,6890 
129,3,319,종로3가(3),6823 
130,6,2624,상수,6816 
131,4,430,이촌,6805 
132,7,2737,내방,6777 
133,3,313,녹번,6770 
134,6,2621,마포구청,6742 
135,8,2824,단대오거리,6737 
136,6,2617,새절,6683 
137,7,2743,신대방삼거리,6647 
138,8,2813,강동구청,6606 
139,2,225,방배,6603 
140,5,2554,상일동,6594 
141,1,159,동묘앞(1),6533 
142,5,2530,공덕(5),6483 
143,2,207,상왕십리,6455 
144,2,206,신당(2),6438 
145,7,2714,마들,6419 
146,7,2713,수락산,6296 
147,2,209,한양대,6257 
148,7,2718,공릉,6245 
149,2,218,종합운동장(2),6190 
150,5,2517,우장산,6182 
151,6,2647,화랑대,6113 
152,7,2736,고속터미널(7),6071 
153,2,215,잠실나루,6034 
154,3,335,대치,6020 
155,9,4133,석촌(9),6005 
156,3,323,약수(3),5945 
157,5,2547,광나루,5940 
158,8,2821,복정(8),5881 
159,6,2644,돌곶이,5805 
160,9,4128,삼성중앙,5787 
161,3,338,일원,5744 
162,2,249,신정네거리,5718 
163,5,2535,종로3가(5),5669 
164,7,2726,중곡,5590 
165,2,208,왕십리(2),5589 
166,6,2618,증산,5589 
167,8,2817,송파,5474 
168,7,2739,남성,5449 
169,7,2729,건대입구(7),5414 
170,6,2641,고려대,5400 
171,6,2648,봉화산,5390 
172,8,2816,석촌(8),5328 
173,7,2741,상도,5328 
174,7,2745,신풍,5323 
175,5,2560,거여,5313 
176,7,2751,천왕,5310 
177,2,204,을지로4가(2),5160 
178,5,2545,군자(5),5151 
179,7,2712,도봉산(7),5097 
180,7,2730,뚝섬유원지,5065 
181,3,325,옥수,5044 
182,4,422,동대문역사문화공원(4),5042 
183,3,330,교대(3),4993 
184,7,2720,먹골,4967 
185,3,337,대청,4913 
186,6,2637,동묘앞(6),4906 
187,6,2626,대흥,4895 
188,9,4131,삼전,4888 
189,5,2520,신정,4881 
190,9,4132,석촌고분,4797 
191,2,205,동대문역사문화공원(2),4748 
192,5,2555,둔촌동,4732 
193,7,2721,중화,4718 
194,7,2727,군자(7),4646 
195,5,2525,영등포시장,4575 
196,5,2515,마곡,4460 
197,3,320,을지로3가(3),4416 
198,3,341,경찰병원,4408 
199,7,2752,온수(7),4389 
200,5,2551,굽은다리,4291 
201,2,242,아현,4257 
202,5,2553,고덕,4206 
203,6,2625,광흥창,4193 
204,8,2818,가락시장(8),4168 
205,8,2814,몽촌토성,4122 
206,7,2746,대림(7),4120 
207,6,2623,합정(6),4105 
208,9,4134,송파나루,4002 
209,2,243,충정로(2),3984 
210,3,309,지축,3984 
211,5,2561,마천,3980 
212,5,2552,명일,3957 
213,6,2636,신당(6),3915 
214,5,2550,길동,3914 
215,3,340,가락시장(3),3873 
216,7,2742,장승배기,3868 
217,6,2643,상월곡,3864 
218,3,316,독립문,3853 
219,5,2540,행당,3847 
220,3,324,금호,3846 
221,2,248,양천구청,3833 
222,8,2828,남위례,3827 
223,6,2639,보문,3798 
224,9,4130,종합운동장(9),3797 
225,4,409,당고개,3767 
226,6,2628,효창공원앞,3689 
227,5,2557,방이,3571 
228,5,2539,신금호,3570 
229,7,2719,태릉입구(7),3508 
230,6,2620,월드컵경기장,3435 
231,4,428,삼각지(4),3422 
232,5,2531,애오개,3400 
233,6,2616,구산,3360 
234,5,2559,개롱,3304 
235,5,2523,양평(5),3195 
236,7,2725,용마산,3151 
237,6,2646,태릉입구(6),3142 
238,8,2822,산성,3063 
239,7,2744,보라매,3008 
240,6,2630,녹사평,2999 
241,5,2511,방화,2926 
242,8,2825,신흥,2887 
243,3,334,도곡,2786 
244,5,2513,김포공항(5),2738 
245,5,2542,마장,2596 
246,5,2565,하남시청,2578 
247,3,328,잠원,2565 
248,8,2826,수진,2533 
249,5,2512,개화산,2517 
250,6,2629,삼각지(6),2423 
251,5,2556,올림픽공원(5),2335 
252,6,2612,역촌,2333 
253,3,342,오금(3),2331 
254,7,2735,반포,2280 
255,5,2562,강일,2273 
256,3,315,무악재,2184 
257,5,2566,하남검단산,2134 
258,5,2514,송정,2009 
259,6,2638,창신,1934 
260,5,2526,신길(5),1899 
261,6,2634,약수(6),1840 
262,2,246,신설동(2),1839 
263,5,2532,충정로(5),1810 
264,9,4135,한성백제,1676 
265,6,2613,불광(6),1665 
266,6,2614,독바위,1535 
267,5,2564,하남풍산,1535 
268,5,2536,을지로4가(5),1515 
269,6,2635,청구(6),1488 
270,3,336,학여울,1448 
271,5,2538,청구(5),1424 
272,6,2633,버티고개,1326 
273,5,2537,동대문역사문화공원(5),1286 
274,5,2558,오금(5),1194 
275,4,431,동작,1066 
276,5,2541,왕십리(5),977 
277,5,2524,영등포구청(5),902 
278,2,244,용답,863 
279,4,434,남태령,781 
280,2,247,도림천,740 
281,2,250,용두,703 
282,9,4137,둔촌오륜,671 
283,8,2827,모란(8),659 
284,7,2711,장암,555 
285,2,245,신답,330 
